scramble,orientation,cross,corner_fr,corner_fl,corner_bl,corner_br,edge_fr,edge_fl,edge_bl,edge_br,EO,CO,CP,ep,total_moves
D2 U R2 D2 F' D2 U R' B' R' U2 D2 R B' D2 R U B2 R2 L2 U B2 D2 R D,x2,D' L F R' B,B2 R B2 R',B' F U2 F' U B,L' U B' U2 B L,R' D2 L D2 R,L2 D2 R D2 L2,R2 D2 L' D2 R2,B2 D2 F D2 B2,R U' R U2 F R2 F' U2 R2,R B U B' U' R',R U2 R2 U' R2 U' R2 U2 R,U' R B' R F2 R' B R F2 R2,F2 U' L R' F2 L' R U' F2,84
L U2 L' B R' F' B R2 F L' U' F2 D' U B F' L2 F2 B2 L',x2,L2 F L U' B2 R2,B L' U2 L B',B' F U B F',U F2 L F2 L',U F' U2 F,U' F2 D2 B D2 F2,U' L2 U2 L' U2 L2,B2 D2 F D2 B2,B L2 D F' D' L2 B',L U F U' F' L',B L F' L' B' L F L',,F2 U B2 L2 U' R2 F2 L2 D' R2 U' F2,75
U' F' R F2 B' D F D R' F' L' F' U2 R F B L' F2 B L F',x2,R' D2 F2 R' D L,R' B' R2 B R,L F' U2 F L',L' U2 L,,L2 D' L U L' B' D L2,L B L B' U' L',L' U2 B' U2 B U2 L,B U B2 D' R2 D B,R B U B' U' R',F U' B' U F' U' B,L F' L B2 L' F L B2 L2,L2 U R2 B2 U' F2 L2 B2 D' F2 U' L2,81
D' B L R D U B2 R' D R' D' U R2 U2 L2 U' D2 R' F2 U B2 D U2 B' D',x2,R' F L' D' R2 F,R' U2 R,B' U' B,F U2 F',R U R',L2 D' U B2 D,R2 D U B D' U' R2,B2 D2 F2 D2 B2,,R' U' F' U F R,R' U' R U' R' U2 R,R2 B2 R F R' B2 R F' R,F2 U B2 L2 U' R2 F2 L2 D' R2 U' F2,69
U' R2 L' F R' F D2 B' R' L2 F L2 U D' B2 R L2 D2 L F' R',x2,R F L U2 R2,B L' U2 L B',,L' R U L R',R' D2 L D2 R,L2 D' B L U' L' U B2 D,B' U2 R' U2 R U2 B,B2 D2 F D2 B2,R U' R U2 F R2 F' U2 R2,R B U B' U' R',B L F L' B' L F' L',R2 B2 R F R' B2 R F' R,L2 U' B F' L2 B' F U' L2,82
B' R U L B2 R D' B' D' B2 D' L F' B' R2 L2 D2 U2 B2 L2,x2,U L2 B' D L' R,F R' U2 R F',B' U2 B,F U2 F',R B' R B R2,R' B' R' B U R,U' L2 U2 L' U2 L2,B2 D2 F D2 B2,L F2 U F' U' F2 L',R' U' F' U F R,B U B' U B U F' U B' U' F,R2 U R2 U R2 U2 B L B' R2 B L' B',F2 U L R' F2 L' R U F2,85
U' D2 L R B' L2 F' R' U2 F L' U2 B' D L' B L' D R2 L2 B' R' B',x2,B' R' B' L' D R2,R' U2 R,L' U2 L2 U' L',,R U2 R',L2 D' L U L' B' D L2,U' L2 U2 L' U2 L2,U B2 D2 F D2 B2,L F2 U F' U' F2 L',B' R' U' R U B,R B' R' F R B R' F',B2 R2 B' L' B R2 B' L B',F2 U B2 L2 U' R2 F2 L2 D' R2 U' F2,79
D' R D2 L' D B R' D' B2 R B' D R' F' U' R L' D U R' B2 D2,x2,L' F2 U' B L' D B,U' R2 B' R2 B,,L' U B' U2 B L,R U2 R',L2 D' L U L' B' D L2,R2 D U B D' U' R2,F L F L' U' F',R' U2 B' R' B U2 R,R' U' F' U F R,R U R' U R U2 R',R2 F2 R' B' R F2 R' B R',B2 U' L' R B2 L R' U' B2,80
F' L2 U' F L U' L R F' D2 F B2 L' B' D2 B2 D U' L2 F',x2,R2 D' B' F L' R B',B U' B',L U L',L' U B' U2 B L,U F' U2 F,L2 D' U B2 D,L2 D U' F2 D',F L F L' U' F',,,F R F' L F R' F' L',B' R B' L2 B R' B' L2 B2,L2 F2 D2 R2 B F D2 L2 B F,66
L' B' U2 B2 L2 U2 D' F' D' B2 L2 R F U2 B' L B' L2 D R' F2 R' D2 F2,x2,L2 B2 L' D B R,F R' F2 U' F R,B' R U' R' B,F U' F',U F' U2 F,U' L2 D2 R' D2 L2,R2 D2 L D2 R2,F L F L' U' F',,R U B U' B' R',L F' L' B L F L' B',,B2 U L' R B2 L R' U B2,64
L U' L' F' D2 R' F R B' R D2 F2 D2 R2 U2 L' F2 B U' L F L B R D',x2,R2 F' D' B' R F',F R' U2 R F',U2 B' U B,U2 F2 L F2 L',F' U F,L2 D' U B2 D,L' D2 B' R B D2 L,,B U B2 D' R2 D B,L U F U' F' L',R2 D' L F2 L' D R U2 R,R2 U R2 U R2 U2 B L B' R2 B L' B',R2 U' B' F R2 B F' U' R2,79
F U2 F' U F' D' F U' D F' U2 B U D L' R U D2 F' R L D2,x2,R2 D R F L' D2,B' U' B2 U2 B',L2 F2 L2 F2,U F2 L F2 L',F' U F,B2 U2 B' U2 B2,U L2 U2 L' U2 L2,,L F2 U F' U' F2 L',L' U' B' U B L,R B' R' F R B R' F',U R B' R F2 R' B R F2 R2,,65
F R2 L U' L' F2 R' U' R' B F2 D' B L D2 L2 U' B' D2 R2 B' L2 D' F2 B,x2,L2 R B F' L' D L2,B U B',B' U B,L' U2 L,F' U2 F,U' F2 D2 B D2 F2,L' D2 B' R B D2 L,U' B2 D2 F D2 B2,B L2 D F' D' L2 B',L U F U' F' L',B' U2 B F' D F2 U F2 D' L2 F,R B' R F2 R' B R F2 R2,L2 F2 D2 R2 B F D2 L2 B F,81
L2 U2 D' L2 R B' D2 L2 D' R2 U2 B2 U' F' R L F B' U2 L D2 F,x2,R' F L' D' B2 F',R2 B' R2 B,B' F U B F',F' U2 F2 U' F',R U2 B' R B R2,L2 D2 R D2 L2,F2 D' U L2 D,L' U2 B' U2 B U2 L,B L2 D F' D' L2 B',F' U2 F R B2 L' B' L U2 B' R',B U B' U B U F' U B' U' F,U,F2 U L R' F2 L' R U F2,82
B2 F2 D F B' L U' D L R' D U' F2 D2 R' B' F2 R U' L2 R,x2,U' R D' L2 B' F',U' R2 B' R2 B,B' U' B,U2 F U' F',F' U2 F,L2 D' U B2 D,R2 D U B D' U' R2,L' U2 B' U' B U2 L,R' U2 B' R2 B U2 R,R' U' F' U F R,R U2 R2 U' R2 U' R2 U2 R,R D' F2 R2 U' L F2 L' U R2 F2 D R',B2 U' L' R B2 L R' U' B2,84
U2 D F' B' U' R D2 R2 U2 B2 F D F2 L' R' U' L2 R2 F' L2 R2 D2 R,x2,U2 L' F D2 L2 F',B U' B',B' F U B F',U2 F2 L F2 L',R U R',L2 D' U B2 D,U L2 U2 L' U2 L2,F L F L' U' F',B U B2 D' R2 D B,R' U' F' U F R,F' U B U' F U B',R2 F2 R' B' R F2 R' B R' U,L2 U B F' L2 B' F U L2,78
R2 F L' R' U2 F R B F2 D R L' F2 R2 B2 L2 B L' U B L',x2,B' L' U' L2 D2 B L,R' U2 R,,U2 F2 L F2 L',,B' U' L' B L B,B2 D' R B U' B' D B2,U B2 D2 F D2 B2,B U B2 D' R2 D B,,B U2 B2 U' B2 U' B2 U2 B,F R' F L2 F' R F L2 F2,L2 U B F' L2 B' F U L2,69
R' L U R' L2 B L B2 U2 L' F' B2 D R F2 B U2 R B' U',x2,L R B' R D',B' U' B2 U2 B',L2 F2 L2 F2,R' F R2 U R' F',R' D2 L D2 R,B2 U2 B U2 B2,,,R U' R U2 F R2 F' U2 R2,R U B U' B' R',R U R' U R U2 R',L' B L' F2 L B' L' F2 L2,F2 U' L R' F2 L' R U' F2,70
U2 D' B L2 D' F2 B' R' B D' F2 U B2 D' R2 U2 L F' L D2 B2 F' L' F2,x2,B R' D2 B' U R2,B U' B',B' R' U2 R B,U' F U F',R U2 R',B2 U2 B' U2 B2,U L2 U2 L' U2 L2,L' U2 B' U' B U2 L,B L2 D F' D' L2 B',R U B U' B' R',B L F' L' B' L F L',R2 U R2 U R2 U2 B L B' R2 B L' B',B2 U' L' R B2 L R' U' B2,82
U B2 U2 D2 R B D L2 R2 D F2 R F L' F2 D L' R' B U2,x2,D L B' D2 L' D,B U B',L U L',F2 L F2 L',R2 B' R' B U2 R',U' F2 D2 B D2 F2,R2 D2 L' D2 R2,B2 D2 F' D2 B2,,R B U B' U' R',B U2 B2 U' B2 U' B2 U2 B,U',L2 U R2 B2 U' F2 L2 B2 D' F2 U' L2,66
F R2 U L' B' F U2 F R D B' F' L2 D' U2 R' L D' F2 B L2 B2,x2,R2 B2 F' L' D' R,R' B' R2 B R,B' U B,L' R U L R',F' U' F,B2 U2 B' U2 B2,B2 D' R B U' B' D B2,,R' U2 B' R2 B U2 R,R U B U' B' R',F R B R' F' R B' R',L' B L' F2 L B' L' F2 L2 U,L2 U R2 B2 U' F2 L2 B2 D' F2 U' L2,78
R' F L2 D2 B' D2 L' R' B2 F2 R2 B2 L' U' B2 D U B' L R2 F L F2,x2,L D' R F' D' B,B U2 B',B' U2 B,F2 L F2 L',R2 D B2 D' R2,R2 D' U F2 D,F2 D' U L2 D,L' U2 B' U2 B U2 L,R' U2 B' R2 B U2 R,R' U' F' U F R,F R B R' F' R B' R',U B2 L2 B R B' L2 B R' B,F2 U B2 L2 U' R2 F2 L2 D' R2 U' F2,81
F2 B D2 F D L2 D L' R U' R2 L' B' L2 R' U' D F L' D R,x2,F2 R' D L2 B D2 B2,B U B',F U B' U' B F',L' U2 L,R U' R',B2 U2 B' U2 B2,B' U2 R' U2 R U2 B,,B' R2 U' R U R2 B,B' R' U' R U B,B U' F' U B' U' F,U2,L2 U B F' L2 B' F U L2,64
F2 L' D' F2 B2 R' U' R U' B' L F' B' U' B U' B R2 B R2 F B' U,x2,D' R D F L',R' B' R2 B U' R,B' R' U2 R B,L' B' U2 B L,R U2 R',L2 D' L U L' B' D L2,F2 D' U L2 D,L2 B2 D2 R' D2 B2 L2,L F2 U F' U' F2 L',L U F U' F' L',,B2 U B2 L' B R D B' D' L B R' B',F2 U B2 L2 U' R2 F2 L2 D' R2 U' F2,82
B2 R D' U2 B' U2 B R2 D B F2 L' D2 L2 B L F' U2 L2 U R2 F2 R2,x2,U2 L' R2 D' R B,F R' U2 R F',L' U2 L2 U' L',L' U2 L,R U R',L2 D' L U L' B' D L2,L2 D U' F2 D',L2 B2 D2 R' D2 B2 L2,B U B2 D' R2 D B,,R' U' R U' R' U2 R,R B' R F2 R' B R F2 R2,R2 U' B' F R2 B F' U' R2,74
F D B' R' L B' U' F B2 L R2 U' D2 B' R' U R D' F' L2 U2 R',x2,D' L' B' D2 L' B,B F' U' B' F,L2 F2 L2 F2,F U2 F',F' U F,U' F2 D2 B D2 F2,B' U2 R' U' R U2 B,L' U2 B' U' B U2 L,B U B2 D' R2 D B,L U F U' F' L',R B' R' F R B R' F',L B L' F' D L D' B' L' F L2 U' L2,B2 U' L' R B2 L R' U' B2,84
D L2 F L2 R D R L' D2 B F L2 B U F2 U' F' U2 D' B' D' U',x2,D F L2 U' B L',R2 B' R2 B,L U' L',R' F R2 U R' F',,R2 D' U F2 D,R2 D U B D' U' R2,,R' U2 B' R B U2 R,R B U B' U' R',,L' B L' F2 L B' L' F2 L2,R2 U B' F R2 B F' U R2,62
U B' D2 L2 D B2 L' F L' D B2 F D L2 U2 D2 R2 F2 U F',x2,L2 D' L D2 L' D,F R' U2 R F',R' B2 R B2 R,F' U2 F2 U' F',R U2 R',B' U' L' B L B,B' U2 R' U2 R U2 B,B2 D2 F' D2 B2,,L U F U' F' L',F U' B' U F' U' B,U L2 F2 L B L' F2 L B' L,F2 U L R' F2 L' R U F2,74
R F U' L2 U' B F2 D2 R L B F2 L' F' R' B F2 D L2 R D' F' U' L' R2,x2,B F2 L B L2 R,,L U2 L',F U F',R2 B' R' B U2 R',,L' D2 B' R B D2 L,B D F L F2 D' B' U' L',,R B U B' U' R',L2 B2 L' F2 L B2 L' F2 L',R2 U R2 U R2 U2 B L B' R2 B L' B',F2 U' L R' F2 L' R U' F2,71
F' D2 L' B' L D2 U2 R' D R F' L R2 D2 L F2 U L B' U' L' B R' L,x2,F2 D L F' U2 B2,R' U2 R,B' R U2 R' B,F U F',R' D2 L D2 R,B2 U2 B' U2 B2,L' D2 B' R B D2 L,B2 D2 F' D2 B2,,B' R' U' R U B,B L F L' B' L F' L',R2 U R2 U R2 U2 B L B' R2 B L' B',L2 F2 D2 R2 B F D2 L2 B F,76
F' D' L' F2 D' F D R' D' L D U' R U F' L2 B2 L F2 B2 U2 D R' B',x2,F D F' D,U R' U' R,L2 F2 L2 F2,F U2 F',F' U2 F,U F2 D2 B D2 F2,R2 D2 L D2 R2,B2 D2 F D2 B2,R U' R U2 F R2 F' U2 R2,F' U2 F R B2 L' B' L U2 B' R',B' U2 B F' D F2 U F2 D' L2 F,B' R B' L2 B R' B' L2 B2,B2 U' L' R B2 L R' U' B2,83
R D U' L2 F2 B' L2 R D' F' U R' U2 B2 U2 L2 F2 B U2 B2 F' L2 B',x2,D' F2 U L2 B2,B2 R B2 R',B' R U' R' B,U' F U F',R U' R',U' L2 D2 R' D2 L2,R2 D U B D' U' R2,U B2 D2 F D2 B2,,F' U2 F R B2 L' B' L U2 B' R',L2 B2 L' F2 L B2 L' F2 L',U B2 L2 B R B' L2 B R' B,R2 U' B' F R2 B F' U' R2,79
U B' F2 L2 U2 B2 R' B R' U D B' F' U2 R2 F' U L2 U' R' L' D' R B2,x2,D' F' D F L' D,R' U B' R2 B R,B' R' U2 R B,F2 L F2 L',R U2 R',U L2 D2 R' D2 L2,,B2 D2 F D2 B2,R U' R U2 F R2 F' U2 R2,F' U2 F R B2 L' B' L U2 B' R',R' U' R U' R' U2 R,L B L' F' D L D' B' L' F L2 U' L2,L2 U B F' L2 B' F U L2,84
L' U' B' F L2 U' F' D B F' D2 F' U' F' U2 F' D L F2 B D2,x2,B2 D' L' B R D,B L' U2 L B',B' R U' R' B,L' B' U2 B U' L,F D2 B' D2 F',L2 D' L U L' B' D L2,B2 D' R B U' B' D B2,L2 B2 D2 R' D2 B2 L2,B' R2 U' R U R2 B,R B U B' U' R',B' U2 B F' D F2 U F2 D' L2 F,U R B' R F2 R' B R F2 R2,,84
D2 F B2 D2 L2 F' R2 B D' R' F' B' L' U L' B U' R' B F' R B' L' U B,x2,L2 U2 B' F2 R D',B L' U2 L B',B' F U B F',R' F R2 U R' F',F D2 B' D2 F',U F2 D2 B D2 F2,B' U2 R' U2 R U2 B,B2 D2 F2 D2 B2,B L2 D F' D' L2 B',,F R F' L F R' F' L',U B L' B R2 B' L B R2 B2,L2 U B F' L2 B' F U L2,79
U' F L F' D U R D' L' B2 F2 L2 R' B L D L B D L R2,x2,U2 B2 F' L2,R2 F2 R2 F2,B' F U B F',F2 L F2 L',R U2 B' R B R2,L2 D2 R D2 L2,L2 D U' F2 D',,R' U2 B' R' B U2 R,R B U B' U' R',B L F L' B' L F' L',L F' L B2 L' F L B2 L2,R2 U' B' F R2 B F' U' R2,72
R' D' F U' B' L2 F R' B' F' L D L' U2 R' L2 B' R' D' U2 R',x2,L R' U B' F2,R2 F2 R2 F2,B' R' U2 R B,L' B' U2 B L,R U2 R',B' U' L' B L B,B2 R B2 R2 B' U' R B R,B2 D2 F2 D2 B2,B L2 D F' D' L2 B',R' U' F' U F R,B L F L' B' L F' L',U2,F2 U B2 L2 U' R2 F2 L2 D' R2 U' F2,76
L' F2 D' F2 U D' R2 F U B' D F B' R D L B' R' U' B2 L R2 B2 U2,x2,D L R D' B F L,U R' U2 R,F U B' U' B F',F U F',R U R',L2 D2 R' D2 L2,U L2 U2 L' U2 L2,B2 D2 F2 D2 B2,B' R2 U' R U R2 B,B' R' U' R U B,R2 D' L F2 L' D R U2 R,U',B2 U L' R B2 L R' U B2,71
F' U2 L2 U2 F U F L2 F' R' B R L2 U2 D2 R2 U2 B' L' B U2 F2,x2,F D B' L' R' B,F R' F2 U' F R,B' U2 B,F U2 F',R B' R B R2,L2 D2 R' D2 L2,L' D2 B' R B D2 L,B2 D2 F D2 B2,,B' R' U' R U B,B U2 B2 U' B2 U' B2 U2 B,U' L2 F2 L B L' F2 L B' L,F2 U' L R' F2 L' R U' F2,74
D R' B2 D2 L2 D2 U R B D' L U L' U' D' B D2 B' F' L2 U' B2 R2,x2,B2 U' R2 B F' L',U R' U' R,F U B' U' B F',L' B' U2 B L,F D2 B' D2 F',L2 D' B L U' L' U B2 D,B2 R B2 R2 B' U' R B R,L' U2 B' U2 B U2 L,R U' R U2 F R2 F' U2 R2,R B U B' U' R',B U2 B2 U' B2 U' B2 U2 B,B2 R2 B' L' B R2 B' L B',R2 U B' F R2 B F' U R2,93
F L R U D B F D F D U' F2 R2 F' R2 D L' B2 D' R U',x2,L R B' D' B2 L',R2 B' R2 B,B' U B,U2 F2 L F2 L',F' U2 F,F2 D2 U2 B2 D2,B2 D' R B U' B' D B2,L2 B2 D2 R' D2 B2 L2,L' B2 D' R D B2 L,R' U' F' U F R,B L F L' B' L F' L',U R B' R F2 R' B R F2 R2,B2 U L' R B2 L R' U B2,81
F' B' L U R' U R D2 L F B2 L' U2 B' L' R' F2 R' U' F' L B' D R' U2,x2,U2 F' D' L R' F,B' U' B2 U2 B',L F' U2 F L',L' B' U2 B U' L,R U2 R',R' B' R' B U R,F2 D' U L2 D,L' U2 B' U' B U2 L,,R B U B' U' R',F2 R2 F L2 F' R2 F L2 F,R2 F2 R' B' R F2 R' B R' U,R2 U' B' F R2 B F' U' R2,77
F2 D R F' L2 B' D U' L U D2 B2 L' F2 L2 U2 F' L B D2 F2 U',x2,D' R' F L' D' F',B U B',L' U2 L2 U' L',U2 F U' F',F D2 B' D2 F',L2 D' L U L' B' D L2,B' U2 R' U' R U2 B,B D F L F2 D' B' U' L',R' U2 B' R2 B U2 R,F' U2 F R B2 L' B' L U2 B' R',B L F' L' B' L F L',F R' F L2 F' R F L2 F2,R2 U' B' F R2 B F' U' R2,91
L' F2 D' R' F U2 D2 F' B2 U' F2 B2 L2 D U2 R2 L D' U' F2 U',x2,U L2 F R2 B' R,F R' U2 R F',L U L',F U' F',R U2 B' R B R2,B2 U2 B U2 B2,B2 D' R B U' B' D B2,B2 D2 F' D2 B2,B' R2 U' R U R2 B,B' R' U' R U B,R B L' B' R' B L B',B2 R2 B' L' B R2 B' L B',F2 U B2 L2 U' R2 F2 L2 D' R2 U' F2,83
F2 B U' D' L U D' R' F' U L2 U R2 L D' R2 B2 U' B' U2 R D F L,x2,R' D' R' B L D2,R U R2 U2 R,L2 F2 L2 F2,F2 L F2 L',F D2 B' D2 F',R' B' R' B U R,R2 D2 L' D2 R2,B2 D2 F2 D2 B2,B L2 D F' D' L2 B',L' U' B' U B L,R2 D' L F2 L' D R U2 R,L' B L' F2 L B' L' F2 L2 U,F2 U L R' F2 L' R U F2,81
F2 L' U2 L R2 B' F' D2 R2 F2 D' U B U R2 D2 R' L D2 F2 L2,x2,F' D2 L' D2 B D F',B U B',B' R' U2 R B,L' B' U2 B U' L,R U' R',U' L2 D2 R' D2 L2,L2 D U' F2 D',,L F2 U F' U' F2 L',L U F U' F' L',F' U B U' F U B',L B L' F' D L D' B' L' F L2 U' L2,R2 U' B' F R2 B F' U' R2,77
D' R2 B R' F' L R2 U' F R2 U L' D2 R' D' F U2 B' F2 U D' B,x2,L2 B L' D2,R' U R,B' R' U2 R B,L' B' U2 B L,F' U' F,B2 U2 B' U2 B2,L' D2 B' R B D2 L,L' U2 B' U' B U2 L,L' B2 D' R D B2 L,R B U B' U' R',B2 D F' L2 F D' B' U2 B',R D' F2 R2 U' L F2 L' U R2 F2 D R',B2 U' L' R B2 L R' U' B2,83
D R2 B' L' U' B' L' B' L F L R F U F U2 R' U R U,x2,L' R2 D' L D',U R' U' R,L U' L',U2 F2 L F2 L',U F' U' F,U' L2 D2 R' D2 L2,L2 D U' F2 D',L' U2 B' U' B U2 L,R U' R U2 F R2 F' U2 R2,R U B U' B' R',F U' B' U F' U' B,U' L2 F2 L B L' F2 L B' L,L2 U' B F' L2 B' F U' L2,80
F B2 R2 U2 F2 B2 R2 B R D R' F2 D2 U L R F' B2 L2 F' R' B' U2,x2,L' D' L2 F' L',F R' F2 U' F R,B' U B,U' F U F',F' U' F,U F2 D2 B D2 F2,B' U2 R' U' R U2 B,B2 D2 F D2 B2,R U' R U2 F R2 F' U2 R2,L U F U' F' L',B' U2 B U B' U B,R D' F2 R2 U' L F2 L' U R2 F2 D R',L2 U R2 B2 U' F2 L2 B2 D' F2 U' L2,86
B' R' B F' L' B' L' R F U F U2 L2 F2 B R' L2 U' L2 U' B' U' R2,x2,U R' B' R2 F L,R' B' R2 B R,L U' L',L' U B' U2 B L,F' U' F,R' B' R' B U R,U L2 U2 L' U2 L2,L' U2 B' U2 B U2 L,B L2 D F' D' L2 B',R B U B' U' R',F U' B' U F' U' B,U B2 L2 B R B' L2 B R' B,L2 U R2 B2 U' F2 L2 B2 D' F2 U' L2,84
U D2 L B' L R' B2 F U2 D2 F' D R L2 F' R' F' B L R F2,x2,U F' L D B' D2,B U2 B',B' U' F U2 B F',L' B' U2 B L,R U R',L2 D2 R D2 L2,U L2 U2 L' U2 L2,B2 D2 F' D2 B2,L F2 U F' U' F2 L',F' U2 F R B2 L' B' L U2 B' R',B L F L' B' L F' L',U B L' B R2 B' L B R2 B2,R2 U B' F R2 B F' U R2,84
U D B D2 F2 L2 F B2 D' F D R F' R2 F2 B L' U' B F' L D' F2,x2,B2 L' F2 D' B L' F',L R' U L' R,B' R U2 R' B,U F2 L F2 L',,R' B' R' B U R,B2 R B2 R2 B' U' R B R,U B2 D2 F D2 B2,L' B2 D' R D B2 L,L' U' B' U B L,L U2 L2 U' L2 U' L2 U2 L,R2 B2 R F R' B2 R F' R,L2 U B F' L2 B' F U L2,83
D R2 F' B L' R' B2 U' L' U2 B' F2 R' D' U2 R' F U2 R U' F2 R',x2,F2 U2 L2 B D,U' R2 B' R2 B,L U2 L',,R2 B' R' B U2 R',,F2 D' U L2 D,U B2 D2 F D2 B2,R U' R U2 F R2 F' U2 R2,R U B U' B' R',B L F L' B' L F' L',L' B L' F2 L B' L' F2 L2,F2 U' L R' F2 L' R U' F2,71
B F L' D' F2 L F U2 D F2 L2 D' F2 L2 U B' L U' L' R U R2 U2,x2,B L' D B D2 L' R,R' U' R,L U' L',,R U R',L2 D' L U L' B' D L2,L2 D U' F2 D',B D F L F2 D' B' U' L',L' B2 D' R D B2 L,R B U B' U' R',R U R' U R U2 R',B' R B' L2 B R' B' L2 B2,F2 U L R' F2 L' R U F2,76
U2 R2 L2 D B L' B R' D U F D F B2 R' F R2 F' B2 L2 B2 D B2,x2,B2 D F2 R D L',R' B' R2 B R,B' U B,F2 L F2 L',R U2 B' R B R2,,L2 D U' F2 D',B D F L F2 D' B' U' L',B L2 D F' D' L2 B',L' U' B' U B L,B L F' L' B' L F L',U' R B' R F2 R' B R F2 R2,F2 U B2 L2 U' R2 F2 L2 D' R2 U' F2,81
L B2 D L' F R2 L' B' D2 R F U' B' L2 U2 R' B F2 U' F B' D',x2,B L2 R B F' L,B2 R B2 R',L U2 L',L' U' L,R2 D B2 D' R2,L2 D' B L U' L' U B2 D,L2 D U' F2 D',U B2 D2 F D2 B2,L' B2 D' R D B2 L,R U B U' B' R',B' U' B U' B' U2 B,B2 U B2 L' B R D B' D' L B R' B',L2 U R2 B2 U' F2 L2 B2 D' F2 U' L2,86
F D' U B2 D2 L2 B U B F2 D2 B' R2 F' L2 B2 U F' R' U2 L2 F,x2,R' F U B D2 L',F R' U2 R F',B' R' U2 R B,L' U' L,R U R',B' U' L' B L B,R2 D U B D' U' R2,U' B2 D2 F D2 B2,B' R2 U' R U R2 B,R U B U' B' R',B U' F' U B' U' F,F R' F L2 F' R F L2 F2,R2 U B' F R2 B F' U R2,79
B L B2 U2 B' F' D R U2 L B R U L' B2 F' D L2 D R2,x2,U L2 F2 L' R',R' U R,U2 B' U B,,,U' L2 D2 R' D2 L2,B' U2 R' U2 R U2 B,B D F L F2 D' B' U' L',L' B2 D' R D B2 L,F' U2 F R B2 L' B' L U2 B' R',B U B' U B U F' U B' U' F,L' B L' F2 L B' L' F2 L2 U,,73
F2 D U' F' D' U B' U D L2 F L B2 F2 R2 B' F2 R2 D2 U L',x2,F D' L U B2 R,R' U' R,L2 F2 L2 F2,L' B' U2 B L,,,F2 D' U L2 D,B D F L F2 D' B' U' L',L' B2 D' R D B2 L,R' U' F' U F R,R B L' B' R' B L B',U B L' B R2 B' L B R2 B2,,63
F U2 F2 U2 F2 L2 D2 F' D' F B2 L' U D' B2 F' D' F' B' R',x2,D2 B2 F D' B',R' U B' R2 B R,L U' L',L' B' U2 B L,R U' R',B' U' L' B L B,R2 D U B D' U' R2,B2 D2 F' D2 B2,R' U2 B' R B U2 R,L U F U' F' L',B' U' B U' B' U2 B,U B2 L2 B R B' L2 B R' B,L2 F2 D2 R2 B F D2 L2 B F,80
D' L R B2 R' D F' B' R' F R2 D' L R D' R' B2 U2 L U R B' D2,x2,U' L F' D2 F2 L',R' U2 R,L F' U2 F L',U' F U F',R U2 B' R B R2,F2 D2 U2 B2 D2,L B L B' U' L',F L F L' U' F',R' U2 B' R B U2 R,R' U' F' U F R,B' U2 B U B' U B,U R B' R F2 R' B R F2 R2,F2 U L R' F2 L' R U F2,80
U2 R U2 F' D2 L F' D2 R2 D L B F2 L F B2 R2 L2 U' D F',x2,L2 F' L R B2 D',B L' U2 L B',B' R U2 R' B,U' F U F',F D2 B' D2 F',L2 D2 R D2 L2,B2 D' R B U' B' D B2,B D F L F2 D' B' U' L',B U B2 D' R2 D B,R U B U' B' R',,B2 U B2 L' B R D B' D' L B R' B',F2 U L R' F2 L' R U F2,82
D2 U' F L R' F' L2 R B2 L2 D' R' F U L' B' U' B2 R' L' B' R2,x2,L D U L2 R F',U' R2 B' R2 B,L F' U2 F L',,,R' B' R' B U R,B' U2 R' U2 R U2 B,F L F L' U' F',,L' U' B' U B L,L2 B2 L' F2 L B2 L' F2 L',R2 B2 R F R' B2 R F' R,B2 U' L' R B2 L R' U' B2,68
R D U2 F U B' D2 B' F2 D' F U2 F2 D' R2 B F R2 U R B2 U L' U' F,x2,D' F2 D2 F' L R',U R' U2 R,L2 B L2 B',F U2 F',F' U' F,L2 D2 R' D2 L2,R2 D2 L D2 R2,L B2 D F2 D' B2 L',L F2 U F' U' F2 L',F' U2 F R B2 L' B' L U2 B' R',,F R' F L2 F' R F L2 F2,F2 U L R' F2 L' R U F2,73
B2 D2 L' U' D2 R2 U B2 L F' U' F D' F2 R' U2 R' D' B' R2,x2,B' D R' B D',B F' U' B' F,B' F U B F',U' F U F',,L2 D2 R D2 L2,L2 D U' F2 D',B2 D2 F' D2 B2,,,B L F L' B' L F' L',L' B L' F2 L B' L' F2 L2,R2 U' B' F R2 B F' U' R2,60
F U R2 D2 F D2 U B2 L' B R D2 B' U2 R U2 R' F' L' U',x2,U2 B L' U' B F2,B U' B',U2 B' U B,F2 L F2 L',R2 D B2 D' R2,U' L2 D2 R' D2 L2,B2 D' R B U' B' D B2,L' U2 B' U2 B U2 L,L F2 U F' U' F2 L',R B U B' U' R',B L F L' B' L F' L',R2 F2 R' B' R F2 R' B R',R2 U B' F R2 B F' U R2,82
R2 U' R2 F' R2 L F L D2 R2 F2 U2 B D U2 R2 D2 F2 R2 F2 B' L2 F' R',x2,B2 D' U2 L' B F,B2 R B2 R',B' R U' R' B,U2 F U' F',U F' U' F,R2 D' U F2 D,F2 D' U L2 D,L' U2 B' U2 B U2 L,L F2 U F' U' F2 L',R U B U' B' R',R B R' F R B' R' F',R2 F2 R' B' R F2 R' B R' U,B2 U L' R B2 L R' U B2,80
